data,endividamento_pct_renda_anual,comprometimento_renda_pct
2011-01-01,34.1,24.19
2011-02-01,34.23,23.96
2011-03-01,34.86,23.92
2011-04-01,34.9,23.84
2011-05-01,35.11,23.77
2011-06-01,35.29,23.58
2011-07-01,35.37,23.49
2011-08-01,35.98,23.7
2011-09-01,36.27,24.2
2011-10-01,36.45,24.67
2011-11-01,36.5,24.62
2011-12-01,36.56,24.58
2012-01-01,36.79,24.54
2012-02-01,36.78,24.49
2012-03-01,36.87,24.54
2012-04-01,36.99,24.47
2012-05-01,37.21,24.53
2012-06-01,37.42,24.38
2012-07-01,37.54,24.09
2012-08-01,37.71,23.8
2012-09-01,37.49,23.59
2012-10-01,37.69,23.44
2012-11-01,37.88,23.46
2012-12-01,38.04,23.47
2013-01-01,38.22,23.15
2013-02-01,38.27,23.09
2013-03-01,38.15,22.89
2013-04-01,38.29,22.75
2013-05-01,38.4,22.33
2013-06-01,38.4,22.21
2013-07-01,38.56,22.18
2013-08-01,38.69,22.24
2013-09-01,38.49,22.31
2013-10-01,38.36,22.3
2013-11-01,38.36,22.44
2013-12-01,38.21,22.68
2014-01-01,38.3,22.59
2014-02-01,38.25,22.58
2014-03-01,38.15,22.48
2014-04-01,38.14,22.6
2014-05-01,38.3,22.71
2014-06-01,38.48,22.78
2014-07-01,38.56,22.83
2014-08-01,38.63,22.67
2014-09-01,38.73,22.7
2014-10-01,38.95,22.72
2014-11-01,38.95,23.11
2014-12-01,39.24,23.48
2015-01-01,39.63,23.92
2015-02-01,39.64,24.08
2015-03-01,39.74,24.02
2015-04-01,40.01,24.18
2015-05-01,40.02,24.18
2015-06-01,40.09,24.29
2015-07-01,40.38,24.3
2015-08-01,40.57,24.37
2015-09-01,40.8,24.61
2015-10-01,40.81,24.22
2015-11-01,40.54,23.75
2015-12-01,40.05,22.99
2016-01-01,40.04,23.26
2016-02-01,39.7,23.37
2016-03-01,39.54,23.65
2016-04-01,39.25,23.7
2016-05-01,39.16,23.97
2016-06-01,39.03,24.04
2016-07-01,38.83,23.84
2016-08-01,38.72,23.79
2016-09-01,38.48,23.81
2016-10-01,38.21,23.74
2016-11-01,38.24,23.57
2016-12-01,38.11,23.22
2017-01-01,38,23.15
2017-02-01,37.88,22.96
2017-03-01,37.8,22.93
2017-04-01,37.45,22.54
2017-05-01,37.38,22.18
2017-06-01,37.32,22.17
2017-07-01,37.33,22.35
2017-08-01,37.37,22.66
2017-09-01,37.25,22.78
2017-10-01,37.3,22.56
2017-11-01,37.38,22.34
2017-12-01,37.22,22.09
2018-01-01,37.25,21.94
2018-02-01,37.23,21.89
2018-03-01,37.26,21.99
2018-04-01,37.48,22.25
2018-05-01,37.75,22.48
2018-06-01,37.84,22.86
2018-07-01,37.82,22.4
2018-08-01,38,22.1
2018-09-01,38.03,22.16
2018-10-01,38.28,22.16
2018-11-01,38.8,22.31
2018-12-01,39.02,22.58
2019-01-01,39.27,22.75
2019-02-01,39.55,22.96
2019-03-01,39.6,22.96
2019-04-01,39.83,23.5
2019-05-01,40.13,23.85
2019-06-01,40.56,25.13
2019-07-01,40.72,24.69
2019-08-01,41.11,24.73
2019-09-01,41.21,23.91
2019-10-01,41.33,23.53
2019-11-01,41.56,22.99
2019-12-01,41.46,22.65
2020-01-01,41.55,22.59
2020-02-01,41.53,22.64
2020-03-01,41.62,23.71
2020-04-01,40.91,23.25
2020-05-01,40.05,21.83
2020-06-01,39.38,20.54
2020-07-01,39.21,19.92
2020-08-01,39.17,19.77
2020-09-01,39.57,20.03
2020-10-01,40.2,20.45
2020-11-01,41.04,21.25
2020-12-01,41.78,21.84
2021-01-01,42.11,22.17
2021-02-01,42.31,21.97
2021-03-01,42.47,22.32
2021-04-01,42.89,22.39
2021-05-01,43.85,22.78
2021-06-01,44.53,22.96
2021-07-01,45.2,23.27
2021-08-01,46.46,23.63
2021-09-01,47.5,24.51
2021-10-01,48.19,25.15
2021-11-01,48.95,25.45
2021-12-01,49.48,25.58
2022-01-01,49.67,26.02
2022-02-01,49.54,25.65
2022-03-01,49.6,25.4
2022-04-01,49.67,25.6
2022-05-01,49.56,25.45
2022-06-01,49.67,25.96
2022-07-01,49.89,26.5
2022-08-01,49.66,26.91
2022-09-01,49.59,27.17
2022-10-01,49.76,27.21
2022-11-01,49.51,27.32
2022-12-01,49.14,27.57
2023-01-01,49.11,27.67
2023-02-01,48.78,27.69
2023-03-01,48.7,27.71
2023-04-01,48.6,27.81
2023-05-01,48.91,27.96
2023-06-01,48.46,27.78
2023-07-01,48.06,27.33
2023-08-01,48.25,26.89
2023-09-01,48.14,26.78
2023-10-01,48.2,26.79
2023-11-01,48.19,26.49
2023-12-01,47.75,25.84
2024-01-01,47.96,25.72
2024-02-01,47.93,25.83
2024-03-01,47.79,26.13
2024-04-01,47.66,26.13
2024-05-01,47.61,26.02
2024-06-01,47.7,26.38
2024-07-01,47.93,26.53
2024-08-01,48.14,26.73
2024-09-01,48.14,26.49
2024-10-01,48.19,26.39
2024-11-01,48.33,26.39
2024-12-01,48.45,26.8
2025-01-01,48.64,26.71
2025-02-01,48.6,26.85
2025-03-01,48.87,26.96
2025-04-01,48.93,27.12
2025-05-01,48.87,27.19
2025-06-01,48.82,27.17
2025-07-01,48.78,27.32
2025-08-01,48.93,27.55
2025-09-01,49.11,27.77
2025-10-01,49.46,27.92
2025-11-01,49.64,27.92
2025-12-01,49.72,28.12
2026-01-01,49.93,28.26
2026-02-01,49.83,28.3
2026-03-01,49.83,28.24
2026-04-01,49.79,28.19
